category_code,kind,p_group,rank,unit
AW_A00115,국산,쌀,상품,20kg
AW_A00116,국산,쌀,중품,20kg
AW_A00153,국산,찹쌀,중품,40kg
AW_A00198,국산,콩,상품,40kg
AW_A00200,수입,콩,중품,35kg
AW_A00091,국산,팥,상품,40kg
AW_A00092,수입,팥,중품,40kg
AW_A00033,국산,녹두,상품,40kg
AW_A00034,수입,녹두,중품,40kg
AW_A00056,수입,메밀,중품,1kg
AW_A00021,국산,고구마,상품,10kg
AW_A00022,국산,고구마,중품,10kg
AW_A00008,국산,감자,상품,20kg
AW_A00009,국산,감자,중품,20kg
AW_A00152,국산,찹쌀,상품,40kg
AW_A00006,국산,감자,상품,20kg
AW_A00007,국산,감자,중품,20kg
AW_A00199,국산,콩,중품,40kg
AW_A00117,국산,쌀,상품,20kg
AW_A00084,국산,배추,상품,10kg
AW_A00085,국산,배추,중품,10kg
AW_A00122,국산,양배추,상품,8kg
AW_A00123,국산,양배추,중품,8kg
AW_A00113,국산,시금치,상품,4kg
AW_A00114,국산,시금치,중품,4kg
AW_A00101,국산,상추,상품,4kg
AW_A00102,국산,상추,중품,4kg
AW_A00103,국산,상추,상품,4kg
AW_A00104,국산,상추,중품,4kg
AW_A00126,국산,얼갈이배추,상품,4kg
AW_A00127,국산,얼갈이배추,중품,4kg
AW_A00111,국산,수박,상품,1개
AW_A00112,국산,수박,중품,1개
AW_A00150,국산,참외,상품,10kg
AW_A00151,국산,참외,중품,10kg
AW_A00136,국산,오이,상품,100개
AW_A00137,국산,오이,중품,100개
AW_A00138,국산,오이,상품,50개
AW_A00139,국산,오이,중품,50개
AW_A00120,국산,호박,상품,20개
AW_A00121,국산,호박,중품,20개
AW_A00196,국산,호박,상품,10kg
AW_A00197,국산,호박,중품,10kg
AW_A00156,국산,토마토,상품,5kg
AW_A00157,국산,토마토,중품,5kg
AW_A00064,국산,무,상품,20kg
AW_A00065,국산,무,중품,20kg
AW_A00066,국산,무,상품,20kg
AW_A00067,국산,무,중품,20kg
AW_A00039,국산,당근,상품,20kg
AW_A00040,국산,당근,중품,20kg
AW_A00041,수입,당근,중품,10kg
AW_A00128,국산,열무,상품,4kg
AW_A00129,국산,열무,중품,4kg
AW_A00016,국산,건고추,상품,30kg
AW_A00017,국산,건고추,중품,30kg
AW_A00010,국산,건고추,상품,30kg
AW_A00011,국산,건고추,중품,30kg
AW_A00174,국산,풋고추,상품,10kg
AW_A00175,국산,풋고추,중품,10kg
AW_A00176,국산,풋고추,상품,4kg
AW_A00177,국산,풋고추,중품,4kg
AW_A00180,국산,풋고추,상품,10kg
AW_A00181,국산,풋고추,중품,10kg
AW_A00178,국산,풋고추,상품,10kg
AW_A00179,국산,풋고추,중품,10kg
AW_A00093,국산,붉은고추,상품,10kg
AW_A00094,국산,붉은고추,중품,10kg
AW_A00184,국산,피마늘,상품,10kg
AW_A00185,국산,피마늘,중품,10kg
AW_A00124,국산,양파,상품,15kg
AW_A00125,국산,양파,중품,15kg
AW_A00044,국산,파,상품,1kg
AW_A00045,국산,파,중품,1kg
AW_A00141,국산,파,상품,1kg
AW_A00142,국산,파,중품,1kg
AW_A00108,국산,생강,상품,10kg
AW_A00109,국산,생강,중품,10kg
AW_A00110,수입,생강,중품,10kg
AW_A00070,국산,미나리,상품,7.5kg
AW_A00071,국산,미나리,중품,7.5kg
AW_A00031,국산,깻잎,상품,2kg
AW_A00032,국산,깻잎,중품,2kg
AW_A00188,국산,피망,상품,10kg
AW_A00189,국산,피망,중품,10kg
AW_A00160,국산,파프리카,상품,5kg
AW_A00161,국산,파프리카,중품,5kg
AW_A00057,국산,멜론,상품,8kg
AW_A00058,국산,멜론,중품,8kg
AW_A00029,국산,깐마늘(국산),상품,20kg
AW_A00030,국산,깐마늘(국산),중품,20kg
AW_A00027,국산,깐마늘(국산),상품,20kg
AW_A00028,국산,깐마늘(국산),중품,20kg
AW_A00042,국산,방울토마토,상품,1kg
AW_A00043,국산,방울토마토,중품,1kg
AW_A00086,국산,배추,상품,10kg
AW_A00087,국산,배추,중품,10kg
AW_A00048,국산,딸기,상품,2kg
AW_A00049,국산,딸기,중품,2kg
AW_A00186,국산,피마늘,상품,10kg
AW_A00187,국산,피마늘,중품,10kg
AW_A00194,국산,양파,상품,15kg
AW_A00195,국산,양파,중품,15kg
AW_A00074,국산,방울토마토,상품,5kg
AW_A00075,국산,방울토마토,중품,5kg
AW_A00080,국산,배추,상품,10kg
AW_A00081,국산,배추,중품,10kg
AW_A00060,국산,무,상품,20kg
AW_A00061,국산,무,중품,20kg
AW_A00082,국산,배추,상품,10kg
AW_A00083,국산,배추,중품,10kg
AW_A00062,국산,무,상품,20kg
AW_A00063,국산,무,중품,20kg
AW_A00014,국산,건고추,상품,30kg
AW_A00015,국산,건고추,중품,30kg
AW_A00012,국산,건고추,상품,30kg
AW_A00013,국산,건고추,중품,30kg
AW_A00182,국산,피마늘,상품,10kg
AW_A00183,국산,피마늘,중품,10kg
AW_A00192,국산,깐마늘(국산),상품,20kg
AW_A00193,국산,깐마늘(국산),중품,20kg
AW_A00190,국산,깐마늘(국산),상품,20kg
AW_A00191,국산,깐마늘(국산),중품,20kg
AW_A00143,국산,참깨,상품,30kg
AW_A00145,국산,참깨,중품,30kg
AW_A00144,국산,참깨,중품,30kg
AW_A00046,국산,들깨,상품,22.5kg
AW_A00047,수입,들깨,중품,45kg
AW_A00050,국산,땅콩,상품,30kg
AW_A00035,국산,느타리버섯,상품,2kg
AW_A00036,국산,느타리버섯,중품,2kg
AW_A00118,국산,느타리버섯,상품,2kg
AW_A00119,국산,느타리버섯,중품,2kg
AW_A00162,국산,팽이버섯,상품,5kg
AW_A00163,국산,팽이버섯,중품,5kg
AW_A00105,국산,새송이버섯,상품,2kg
AW_A00106,국산,새송이버섯,중품,2kg
AW_A00099,국산,사과,상품,10kg
AW_A00100,국산,사과,중품,10kg
AW_A00076,국산,배,상품,15kg
AW_A00077,국산,배,중품,15kg
AW_A00072,수입,바나나,상품,13kg
AW_A00073,수입,바나나,중품,13kg
AW_A00148,국산,참다래,상품,10kg
AW_A00149,국산,참다래,중품,10kg
AW_A00158,수입,파인애플,상품,12kg
AW_A00159,수입,파인애플,중품,12kg
AW_A00130,국산,오렌지,상품,18kg
AW_A00131,국산,오렌지,중품,18kg
AW_A00134,국산,오렌지,상품,18kg
AW_A00135,국산,오렌지,중품,18kg
AW_A00051,수입,레몬,상품,17kg
AW_A00052,수입,레몬,중품,17kg
AW_A00154,수입,체리,상품,5kg
AW_A00155,수입,체리,중품,5kg
AW_A00054,수입,망고,상품,5kg
AW_A00055,수입,망고,중품,5kg
AW_A00146,국산,참다래,상품,10kg
AW_A00147,국산,참다래,중품,10kg
AW_A00168,국산,포도,상품,8kg
AW_A00169,국산,포도,중품,8kg
AW_A00003,국산,감귤,S과,5kg
AW_A00002,국산,감귤,M과,5kg
AW_A00037,국산,단감,상품,10kg
AW_A00038,국산,단감,중품,10kg
AW_A00132,국산,오렌지,상품,18kg
AW_A00133,국산,오렌지,중품,18kg
AW_A00170,국산,포도,상품,2kg
AW_A00171,국산,포도,중품,2kg
AW_A00164,국산,포도,상품,5kg
AW_A00165,국산,포도,중품,5kg
AW_A00097,국산,사과,상품,10kg
AW_A00098,국산,사과,중품,10kg
AW_A00172,국산,포도,상품,5kg
AW_A00173,국산,포도,중품,5kg
AW_A00005,국산,감귤,S과,3kg
AW_A00004,국산,감귤,M과,3kg
AW_A00166,국산,포도,상품,2kg
AW_A00167,국산,포도,중품,2kg
AW_A00078,국산,배,상품,15kg
AW_A00079,국산,배,중품,15kg
AW_A00095,국산,사과,상품,10kg
AW_A00096,국산,사과,중품,10kg
AW_A00088,국산,복숭아,상품,4.5kg
AW_A00089,국산,복숭아,중품,4.5kg
SW_A00025,국산,고등어,중품,10kg
SW_A00023,국산,고등어,중품,10kg
SW_A00024,수입,고등어,중품,20kg
SW_A00001,국산,갈치,중품,1kg
SW_A00000,국산,갈치,중품,1kg
SW_A00059,국산,명태,중품,20kg
SW_A00069,국산,물오징어,중품,1kg
SW_A00068,국산,물오징어,중품,1kg
SW_A00018,국산,건멸치,중품,1.5kg
SW_A00090,국산,북어,중품,10마리
SW_A00020,국산,건오징어,중품,20마리
SW_A00053,국산,김,중품,1속
SW_A00019,국산,건미역,상품,1kg
SW_A00140,국산,전복,중품,1kg
SW_A00107,수입,새우,중품,2kg
SW_A00026,국산,굴,상품,1kg
